"FECHA_OPERACION","CONCESION","OPERADOR","MUNICIPIO_ORIGEN","LATITUD_ORIGEN","LONGITUD_ORIGEN","MUNICIPIO_DESTINO","LATITUD_DESTINO","LONGITUD_DESTINO","TIPO_CARGA","PRODUCTO","PESO","RED","VAGONES_CARGA","VAGONES_PASAJEROS","CANTIDAD_PASAJEROS"
"2022 Jul 17 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","19","710"
"2022 Jul 17 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","19","710"
"2022 Jul 17 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","19","710"
"2022 Jul 17 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","19","710"
"2022 Jul 17 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","19","710"
"2022 Jul 17 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","19","710"
"2018 May 24 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","40"
"2018 May 24 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","40"
"2018 May 24 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","40"
"2018 May 24 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","40"
"2018 May 24 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","40"
"2018 May 24 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","40"
"2022 Mar 29 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.546","PUBLICO","150","0","0"
"2022 Mar 29 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.546","PUBLICO","150","0","0"
"2021 May 03 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.529","PUBLICO","150","0","0"
"2020 Jan 09 12:00:00 AM","CONSORCIO IBINES FERREO","COOPSERCOL","PUERTO BERRÍO","6,48704114044","-74,4099455275","BARRANCABERMEJA","7,06496386399","-73,8499569753","GENERAL","BUL","1","PUBLICO","1","1","114"
"2023 Feb 05 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.495","PUBLICO","150","0","0"
"2020 Feb 05 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.531","PUBLICO","150","0","0"
"2019 May 16 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","112"
"2019 May 16 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","112"
"2019 May 16 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","112"
"2019 May 16 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","112"
