"FECHA_OPERACION","CONCESION","OPERADOR","MUNICIPIO_ORIGEN","LATITUD_ORIGEN","LONGITUD_ORIGEN","MUNICIPIO_DESTINO","LATITUD_DESTINO","LONGITUD_DESTINO","TIPO_CARGA","PRODUCTO","PESO","RED","VAGONES_CARGA","VAGONES_PASAJEROS","CANTIDAD_PASAJEROS"
"2018 Apr 25 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","5","375"
"2018 Apr 25 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","5","375"
"2018 Apr 25 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","5","375"
"2018 Apr 25 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","5","375"
"2018 Apr 25 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","5","375"
"2022 Aug 11 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","4","175"
"2022 Aug 11 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","4","175"
"2022 Aug 11 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","4","175"
"2022 Aug 11 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","4","175"
"2022 Aug 11 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","4","175"
